State,Done,Task,Due,Next Due,Recur Interval,Recur Unit,Days (Only if Set to 1 Day(s)),Type,First Weekday Base Date,Last Day Base Date,Last Weekday Base Date,Next Last Base Date,Simplified Recur Unit,Assignee,UTC Offset
🔴,No,Install New Graphics Driver,2020년 10월 25일,,,,,⏳One-Time,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,Thomas Frank,0
🔴,No,Water Plants,2022년 1월 1일,"11월 30, 2022",3,Day(s),,🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,days,Thomas Frank,0
🔴,No,Feed Cat,2022년 3월 24일,"11월 28, 2022",1,Day(s),,🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,days,Thomas Frank,0
🔴,No,Do Leg Workout,2022년 3월 25일,"9월 28, 1998",1,Day(s),"Friday, Monday, Wednesday",🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,days,Thomas Frank,0
🔴,No,Fill Out Journal,2022년 3월 27일,"12월 4, 2022",1,Week(s),,🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,weeks,Thomas Frank,0
🔴,No,Pay Rent,2022년 3월 31일,"11월 30, 2022",1,Month(s) on the Last Weekday,,🔄Recurring,1998년 9월 28일 오후 1:00,2022년 11월 30일,2022년 11월 30일,2022년 12월 31일,days,Thomas Frank,0
🔴,No,Clean Studio,2022년 3월 31일,"11월 30, 2022",1,Month(s) on the Last Weekday,,🔄Recurring,1998년 9월 28일 오후 1:00,2022년 11월 30일,2022년 11월 30일,2022년 12월 31일,days,Thomas Frank,0
🔴,No,Check Over Task System,2022년 4월 4일,"12월 1, 2022",1,Month(s) on the First Weekday,,🔄Recurring,2022년 11월 1일,2022년 11월 30일,1998년 9월 28일 오후 1:00,2022년 12월 31일,days,Thomas Frank,0
🔴,No,Pay Estimated Taxes,2022년 4월 13일,"1월 13, 2023",3,Month(s),,🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,months,Thomas Frank,0
🔴,No,Change Car Air Filter,2022년 6월 30일,"12월 31, 2022",6,Month(s) on the Last Day,,🔄Recurring,1998년 9월 28일 오후 1:00,2022년 12월 31일,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,days,Thomas Frank,0
🔴,No,Check Over Domain Renewals,2022년 10월 31일,"10월 31, 2023",1,Year(s),,🔄Recurring,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,years,Thomas Frank,0
