State,Done,Task,Due,Project,Next Due,Recur Interval,Parent Task,Priority,Type,Assignee,Created,Created By,Edited,Kanban - State,Kanban - Tag,Sub-Tasks,Cold,Divider,Due Stamp (Parent),Due Timestamp,Late,Parent Due Timestamp,Parent Project,Start,Sub Seed,Sub Seed Name,Days (Only if Set to 1 Day(s)),First Weekday Base Date,Last Day Base Date,Last Weekday Base Date,Next Last Base Date,Recur Unit,Simplified Recur Unit,⏱ Recurring Divider,✅ Sub-Task Divider,UTC Offset
😀,Yes,Take new picture for homepage background,2021년 9월 13일,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,Design,,No,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1631505600000,1631505600000,,,,2020년 10월 27일,Yes,Take new picture for homepage background,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2021년 9월 22일,,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1632283200000,1632283200000,☠,,,,Yes,Task Due Today,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
😀,Yes,Change login URL,2021년 9월 23일,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,,,,🚨HIGH,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,Security,,No,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1632369600000,1632369600000,,,,2020년 10월 26일,Yes,Change login URL,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Write About page copy,2021년 10월 14일,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,Copy,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Overdue%20Sub-Task%20Example%20be8fdefd4abe4dce89a41ab6619c7499.md,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1634184000000,1634184000000,☠,,,2020년 10월 28일,Yes,Write About page copy,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 2,2021년 12월 6일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638766800000,☠,1638939600000,,,No,Task with Sub-Tasks,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task with Sub-Tasks,2021년 12월 8일,,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,"../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%201%2013f68afcbe8f4709acdcbf2328efdd7f.md, ../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%202%202374d2fcdfe3463e9e3030acc64e8b83.md",Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638939600000,☠,,,,Yes,Task with Sub-Tasks,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 1,2021년 12월 8일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638939600000,☠,1638939600000,,,No,Task with Sub-Tasks,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2022년 2월 9일,,"11월 8, 2022",2,,🧊 Low,🔄Recurring,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644382800000,1644382800000,☠,,,,Yes,Task Due Today,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Recurring Task Due Today,2022년 2월 9일,,"11월 9, 2022",7,,🧀 Medium,🔄Recurring,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644382800000,1644382800000,☠,,,,Yes,Recurring Task Due Today,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Tomorrow,2022년 2월 10일,,"11월 7, 2022",3,,🧀 Medium,🔄Recurring,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644469200000,1644469200000,☠,,,,Yes,Task Due Tomorrow,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Test PerfMatters speed changes,2022년 2월 10일,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,Speed,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644469200000,1644469200000,☠,,,2020년 10월 25일,Yes,Test PerfMatters speed changes,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Replay Breath of the Wild,2022년 2월 11일,,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644555600000,1644555600000,☠,,,,Yes,Replay Breath of the Wild,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞😀,Yes,Test Sub-Task 2,2022년 3월 10일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,No,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1646888400000,,1647576000000,,,No,Test Inbox Task,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Overdue Sub-Task Example,2022년 3월 15일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Write%20About%20page%20copy%20837237e2acb44182a888ee7c3fb21974.md,🚨HIGH,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,No,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1634184000000,1647316800000,☠,1634184000000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Write About page copy,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Dateless task sub-task with date,2022년 3월 15일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Dateless%20task%205833397c7833401f82d9d3bc70c4386a.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,4823402820000,1647316800000,☠,4823402820000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Dateless task,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Design header,2022년 3월 17일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647489600000,☠,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Test Sub-Task,2022년 3월 17일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647489600000,☠,1647576000000,,,No,Test Inbox Task,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Design footer,2022년 3월 17일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647489600000,☠,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,Month(s) on the Last Day,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Test Inbox Task,2022년 3월 18일,,,,,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,"../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Sub-Task%20f4d7351bb48143c3afd5d2ca6ea11174.md, ../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Test%20Sub-Task%202%20478de3ebd6684651b0c16ea06c00d135.md",Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647576000000,☠,,,,Yes,Test Inbox Task,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Install 2FA plugin,2022년 3월 18일,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,,,,🚨HIGH,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,Security,,No,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647576000000,☠,,,2020년 10월 26일,Yes,Install 2FA plugin,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Test full-width splash image,2022년 3월 18일,,,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,🧀 Medium,⏳One-Time,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,To Do,,,Yes,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647576000000,☠,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Create Home Page,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
