State,Done,Task,Due,Assignee,Next Due,Recur Interval,Created,Created By,Edited,Project,Cold,Days (Only if Set to 1 Day(s)),Divider,Due Stamp (Parent),Due Timestamp,First Weekday Base Date,Kanban - State,Kanban - Tag,Last Day Base Date,Last Weekday Base Date,Late,Next Last Base Date,Parent Due Timestamp,Parent Project,Parent Task,Priority,Recur Unit,Simplified Recur Unit,Start,Sub Seed,Sub Seed Name,Sub-Tasks,Type,UTC Offset,⏱ Recurring Divider,✅ Sub-Task Divider
😀,Yes,Take new picture for homepage background,2021년 9월 13일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1631505600000,1631505600000,1998년 9월 28일 오후 1:00,To Do,Design,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,,2020년 10월 27일,Yes,Take new picture for homepage background,,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Task Due Today,2021년 9월 22일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1632283200000,1632283200000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,,,Yes,Task Due Today,,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
😀,Yes,Change login URL,2021년 9월 23일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1632369600000,1632369600000,1998년 9월 28일 오후 1:00,To Do,Security,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,1998년 9월 28일 오후 1:00,,,,🚨HIGH,,,2020년 10월 26일,Yes,Change login URL,,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Write About page copy,2021년 10월 14일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1634184000000,1634184000000,1998년 9월 28일 오후 1:00,To Do,Copy,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,,2020년 10월 28일,Yes,Write About page copy,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Overdue%20Sub-Task%20Example%20be8fdefd4abe4dce89a41ab6619c7499.md,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Sub-Task 2,2021년 12월 6일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638766800000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1638939600000,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,🧀 Medium,,,,No,Task with Sub-Tasks,,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Task with Sub-Tasks,2021년 12월 8일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638939600000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,,,Yes,Task with Sub-Tasks,"../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%201%2013f68afcbe8f4709acdcbf2328efdd7f.md, ../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%202%202374d2fcdfe3463e9e3030acc64e8b83.md",⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Sub-Task 1,2021년 12월 8일,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1638939600000,1638939600000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1638939600000,,../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,🧀 Medium,,,,No,Task with Sub-Tasks,,⏳One-Time,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Task Due Today,2022년 2월 9일,,"12월 6, 2022",2,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644382800000,1644382800000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧊 Low,,days,,Yes,Task Due Today,,🔄Recurring,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Recurring Task Due Today,2022년 2월 9일,,"12월 7, 2022",7,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644382800000,1644382800000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,days,,Yes,Recurring Task Due Today,,🔄Recurring,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Task Due Tomorrow,2022년 2월 10일,,"12월 7, 2022",3,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644469200000,1644469200000,1998년 9월 28일 오후 1:00,To Do,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,🧀 Medium,,days,,Yes,Task Due Tomorrow,,🔄Recurring,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
