State,Done,Task,Due,Type,Assignee,Next Due,Recur Interval,Priority,Parent Task,Created,Created By,Edited,Project,Kanban - State,Kanban - Tag,Sub-Tasks,Cold,Due Stamp (Parent),Due Timestamp,Parent Due Timestamp,Parent Project,Start,Sub Seed,Sub Seed Name,Divider,Late,Days (Only if Set to 1 Day(s)),First Weekday Base Date,Last Day Base Date,Last Weekday Base Date,Next Last Base Date,Recur Unit,Simplified Recur Unit,⏱ Recurring Divider,✅ Sub-Task Divider,UTC Offset
😀,Yes,Take new picture for homepage background,2021년 9월 13일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Design,,No,1631505600000,1631505600000,,,2020년 10월 27일,Yes,Take new picture for homepage background,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2021년 9월 22일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1632283200000,1632283200000,,,,Yes,Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
😀,Yes,Change login URL,2021년 9월 23일,⏳One-Time,,,,🚨HIGH,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Security,,No,1632369600000,1632369600000,,,2020년 10월 26일,Yes,Change login URL,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Write About page copy,2021년 10월 14일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Copy,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Overdue%20Sub-Task%20Example%20be8fdefd4abe4dce89a41ab6619c7499.md,Yes,1634184000000,1634184000000,,,2020년 10월 28일,Yes,Write About page copy,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Overdue Sub-Task Example,2022년 3월 15일,⏳One-Time,,,,🚨HIGH,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Write%20About%20page%20copy%20837237e2acb44182a888ee7c3fb21974.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,No,1634184000000,1647316800000,1634184000000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,No,Write About page copy,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task with Sub-Tasks,2021년 12월 8일,⏳One-Time,,,,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,"../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%201%2013f68afcbe8f4709acdcbf2328efdd7f.md, ../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Sub-Task%202%202374d2fcdfe3463e9e3030acc64e8b83.md",Yes,1638939600000,1638939600000,,,,Yes,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 2,2021년 12월 6일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1638939600000,1638766800000,1638939600000,,,No,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
➞🔴,No,Sub-Task 1,2021년 12월 8일,⏳One-Time,,,,🧀 Medium,../../All%20Tasks%2063079aab18fa493f94f9085baae5ae05/Task%20with%20Sub-Tasks%2083d75b2589d545fda63f98b6e217d5ea.md,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1638939600000,1638939600000,1638939600000,,,No,Task with Sub-Tasks,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Recurring Task Due Today,2022년 2월 9일,🔄Recurring,,"11월 23, 2022",7,🧀 Medium,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644382800000,1644382800000,,,,Yes,Recurring Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
🔴,No,Task Due Today,2022년 2월 9일,🔄Recurring,,"11월 22, 2022",2,🧊 Low,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,,Yes,1644382800000,1644382800000,,,,Yes,Task Due Today,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,☠,,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,days,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑,0
