Done,Overdue,Task,Project/Domain,Value,Due Date,Do Date,Energy Level,Context,Date created,Date Modified
No,,Programmer’s Brain,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,10k,,2022년 7월 9일,🔋 High Energy,"🏡 Home, 🔁 Recurring",2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 10:59
No,,Sign up for rock climbing,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,1k,,2021년 11월 30일,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Look up Stoics + pleasure,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Jop%20Position%20ececb4289fc7434c87bd56687857ca8e.md,100,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Fund SEP IRA,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k,,2021년 12월 21일,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Download $10k Tune-up template,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,10,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,🚩,,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Readings%20220d6f15e5ca40bc92d71c48c8cf3d53.md,10k,2021년 12월 24일,2021년 12월 31일,🔋 High Energy,"🏡 Home, 🏢 Office",2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:00
Yes,,"@2021년 12월 23일 ",,,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Research new life insurance policy,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,100,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Contact PT,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Money%20520c064cac714a2a9d3ff5c2da751f49.md,1k,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Send my odometer reading,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,10,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,가슴/등,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Fitness%2004bc32ab67f04a1f82bdc6a9ed7970d8.md,10k,,2022년 7월 9일,🔋 High Energy,"🏡 Home, 🔁 Recurring",2022년 6월 19일 오전 6:16,2022년 7월 8일 오후 11:07
No,,Call accountant about 501c3,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
Yes,,test today,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/New%20Domain%20a2d69a13353346babe32c436d9f62d02.md,,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Write my Eulogy,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Ethereum%20Core%20Research%206aecf29a1c5a4f62bc453d969d541eff.md,1k,,,,,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,Renew License,Projects%20and%20Domains%20Table%20aa921663acb044e4be8852e22d66a8b9/Family%20d58ac55fef764e55bd8acf9e8fb162a7.md,1k,,2022년 1월 5일,😅 Low Energy,🏡 Home,2022년 6월 19일 오전 6:16,2022년 6월 19일 오전 6:16
No,,,,,,,,,2022년 7월 8일 오후 11:07,2022년 7월 8일 오후 11:07
No,,,,,,,,,2022년 7월 8일 오후 11:10,2022년 7월 8일 오후 11:10
